Wavelength,AUS1,ICE1,KUW1,NIG1,SAH1,OAH1,SAN1
562,0.008712816,0.006717364,0.000920198,0.003879996,0.002885635,0.011952441,0.005615101
563,0.008582144,0.006594954,0.000916532,0.00386886,0.00287053,0.011739164,0.005594886
564,0.008440797,0.006470712,0.000908095,0.003859352,0.002854498,0.011522136,0.005552381
565,0.008296358,0.006348344,0.000896832,0.003844227,0.002840736,0.011306746,0.005488297
566,0.008152761,0.006228471,0.000878914,0.003825794,0.002826136,0.011100466,0.005415487
567,0.008008334,0.006107275,0.000863676,0.003804368,0.002809199,0.01089765,0.005332996
568,0.007865237,0.00599035,0.000845289,0.003779499,0.002791738,0.010695177,0.005264728
569,0.007724681,0.005880598,0.000828315,0.003750397,0.002773647,0.010504248,0.005218219
570,0.007582107,0.005774348,0.000811679,0.003723901,0.002752799,0.010328152,0.005174567
571,0.007433528,0.005669169,0.00080017,0.003698082,0.002730823,0.010154088,0.00512596
572,0.007287403,0.005571284,0.000786281,0.003671899,0.002713015,0.009988952,0.005074865
573,0.00714892,0.00548334,0.000779849,0.003649563,0.002698252,0.009835209,0.005004017
574,0.007015427,0.005398973,0.000778468,0.003632984,0.002686393,0.009683631,0.004908052
575,0.006892203,0.005319002,0.000778234,0.003617924,0.00267796,0.009526068,0.004817631
576,0.006783502,0.005253642,0.000776515,0.003603969,0.002672935,0.009371399,0.004752296
577,0.006676546,0.005200492,0.000779449,0.003594461,0.002666217,0.009218114,0.004709439
578,0.006565302,0.005148806,0.00077725,0.003586927,0.002658339,0.009066188,0.004704304
579,0.006457272,0.005103897,0.000769996,0.0035778,0.002648891,0.008911522,0.004743138
580,0.006345552,0.005058143,0.00076311,0.00357159,0.00263785,0.008760176,0.004808169
581,0.006228101,0.004997223,0.00075735,0.003569694,0.002624925,0.008611856,0.004868711
582,0.006119273,0.004918889,0.000747334,0.00356596,0.00261141,0.008463848,0.004930367
583,0.006024196,0.004836205,0.000740426,0.003556798,0.00259824,0.008315386,0.00497769
584,0.005931101,0.004742765,0.000740081,0.003545169,0.002586637,0.008178207,0.004991454
585,0.005842192,0.004648643,0.000745451,0.003523487,0.002576484,0.008051912,0.004976584
586,0.005754151,0.004562578,0.000752024,0.00349125,0.002565625,0.007935399,0.00495866
587,0.005656663,0.004489989,0.00076295,0.003453901,0.002556065,0.007829389,0.004927122
588,0.005542571,0.004420916,0.000776853,0.003416706,0.002544837,0.007730684,0.004892801
589,0.005423486,0.004363864,0.000786832,0.00338182,0.002531469,0.007631421,0.00488073
590,0.005301814,0.004313041,0.000789781,0.003357673,0.002516862,0.007526026,0.004878512
591,0.005184131,0.004264113,0.000792813,0.003344644,0.002506969,0.00741205,0.004879045
592,0.005076617,0.00421275,0.00078914,0.003339476,0.002498661,0.007291947,0.004898384
593,0.004986463,0.004163512,0.00077455,0.003339934,0.002494943,0.007178211,0.004922769
594,0.004909276,0.004109768,0.000757797,0.003341742,0.002494401,0.007074843,0.004936496
595,0.004844211,0.004062436,0.00073996,0.003342537,0.002495862,0.006989486,0.00495428
596,0.004789882,0.004025053,0.000715212,0.003340438,0.002493505,0.006923455,0.004967161
597,0.004745212,0.003996876,0.000695051,0.003338859,0.002488124,0.006875984,0.004955349
598,0.004709458,0.003972776,0.000682201,0.003338043,0.002476499,0.006830438,0.00493353
599,0.004675931,0.003957316,0.000670961,0.003337973,0.002461719,0.006779799,0.004913207
600,0.004643596,0.003934997,0.000664723,0.003332046,0.002445949,0.006720434,0.004886994
601,0.004606526,0.003901036,0.000669015,0.003324147,0.002432751,0.006655517,0.004862863
602,0.004560057,0.003864126,0.000675823,0.003309662,0.002423089,0.006580568,0.004851829
603,0.004497646,0.003831948,0.000685081,0.00328845,0.002423005,0.006506639,0.004839043
604,0.004431431,0.003802696,0.000693799,0.003263239,0.002428304,0.006442059,0.004802656
605,0.004362767,0.003783674,0.000697632,0.003242552,0.002434322,0.006389641,0.00474365
606,0.004300444,0.00377898,0.000691796,0.003222687,0.002437446,0.006349084,0.004666705
607,0.00424802,0.003777143,0.000680077,0.003208245,0.002440035,0.006322346,0.004579816
608,0.004208531,0.003769535,0.000661856,0.003200454,0.002434553,0.006302655,0.0045017
609,0.004169982,0.003753801,0.000644855,0.003201663,0.002425,0.006281216,0.004453193
610,0.004133539,0.003729612,0.000631671,0.003209487,0.00241677,0.006254278,0.004437677
611,0.004089243,0.003697197,0.00062288,0.003225989,0.002415846,0.006213762,0.004438918
612,0.004037443,0.00366213,0.000615229,0.003245753,0.002415166,0.006160267,0.00444392
613,0.003984935,0.003637483,0.000613564,0.003265832,0.00242019,0.006097969,0.004452293
